axis_id,clip_id,a_ind,status,s_commit
timing,1263,1,VIDEO_DETERMINED,
timing,1270,1,VIDEO_DETERMINED,
timing,1278,1,VIDEO_DETERMINED,
timing,1282,0.45833333333333331,CROSSING,0.05
timing,1308,0.65833333333333333,CROSSING,0.90
timing,1330,1,VIDEO_DETERMINED,
timing,1364,1,VIDEO_DETERMINED,
timing,1386,0.55833333333333335,CROSSING,0.05
timing,1410,1,VIDEO_DETERMINED,
timing,1412,1,VIDEO_DETERMINED,
timing,1421,1,VIDEO_DETERMINED,
timing,1422,1,VIDEO_DETERMINED,
timing,1436,1,VIDEO_DETERMINED,
timing,1447,0.875,CROSSING,0.05
timing,1459,1,VIDEO_DETERMINED,
timing,1479,1,VIDEO_DETERMINED,
timing,1502,1,VIDEO_DETERMINED,
timing,1514,1,VIDEO_DETERMINED,
timing,1517,1,VIDEO_DETERMINED,
timing,1560,0.875,CROSSING,0.05
timing,1574,1,VIDEO_DETERMINED,
timing,1601,1,VIDEO_DETERMINED,
timing,1628,0.7583333333333333,CROSSING,0.05
timing,1629,0.7583333333333333,CROSSING,0.05
timing,1630,1,VIDEO_DETERMINED,
timing,1739,0.875,CROSSING,0.05
timing,1762,1,VIDEO_DETERMINED,
timing,1810,1,VIDEO_DETERMINED,
timing,1812,1,VIDEO_DETERMINED,
timing,1813,1,VIDEO_DETERMINED,
timing,1859,1,VIDEO_DETERMINED,
timing,1868,1,VIDEO_DETERMINED,
timing,1876,0.65000000000000002,CROSSING,0.05
timing,1893,1,VIDEO_DETERMINED,
timing,1900,1,VIDEO_DETERMINED,
timing,1905,0.875,CROSSING,0.05
timing,1929,1,VIDEO_DETERMINED,
timing,194,1,VIDEO_DETERMINED,
timing,195,0.875,CROSSING,0.05
timing,1956,1,VIDEO_DETERMINED,
timing,1964,1,VIDEO_DETERMINED,
timing,1972,1,VIDEO_DETERMINED,
timing,2,0.7583333333333333,CROSSING,0.05
timing,2029,1,VIDEO_DETERMINED,
timing,2032,0.7583333333333333,CROSSING,0.05
timing,2041,0.875,CROSSING,0.05
timing,2061,1,VIDEO_DETERMINED,
timing,2082,1,VIDEO_DETERMINED,
timing,2106,1,VIDEO_DETERMINED,
timing,214,1,VIDEO_DETERMINED,
timing,2174,1,VIDEO_DETERMINED,
timing,2177,1,VIDEO_DETERMINED,
timing,221,1,VIDEO_DETERMINED,
timing,2249,1,VIDEO_DETERMINED,
timing,2250,0.875,CROSSING,0.05
timing,2307,0.5,CROSSING,0.75
timing,2311,1,VIDEO_DETERMINED,
timing,2372,0.875,CROSSING,0.05
timing,2418,1,VIDEO_DETERMINED,
timing,2436,1,VIDEO_DETERMINED,
timing,245,1,VIDEO_DETERMINED,
timing,2457,1,VIDEO_DETERMINED,
timing,2469,1,VIDEO_DETERMINED,
timing,249,0.875,CROSSING,0.05
timing,2491,1,VIDEO_DETERMINED,
timing,2511,0.875,CROSSING,0.05
timing,2555,1,VIDEO_DETERMINED,
timing,2583,1,VIDEO_DETERMINED,
timing,2603,0.875,CROSSING,0.05
timing,2612,0.7583333333333333,CROSSING,0.05
timing,2622,1,VIDEO_DETERMINED,
timing,2646,0.875,CROSSING,0.05
timing,2661,1,VIDEO_DETERMINED,
timing,2668,1,VIDEO_DETERMINED,
timing,2689,1,VIDEO_DETERMINED,
timing,2723,1,VIDEO_DETERMINED,
timing,2757,1,VIDEO_DETERMINED,
timing,2794,1,VIDEO_DETERMINED,
timing,2796,0.875,CROSSING,0.05
timing,2802,1,VIDEO_DETERMINED,
timing,2803,0.875,CROSSING,0.05
timing,2812,1,VIDEO_DETERMINED,
timing,2817,1,VIDEO_DETERMINED,
timing,282,0.875,CROSSING,0.35
timing,2826,0.76666666666666672,CROSSING,0.05
timing,2875,0.65833333333333333,CENSORED,
timing,2881,0.7583333333333333,CROSSING,0.05
timing,292,1,VIDEO_DETERMINED,
timing,2945,0.875,CROSSING,0.05
timing,2992,1,VIDEO_DETERMINED,
timing,3,1,VIDEO_DETERMINED,
timing,3048,0.65000000000000002,CROSSING,0.05
timing,3056,1,VIDEO_DETERMINED,
