clip,cfg,axis_id,s,a_fork_conf,n_conf,abstain_fork,a_independent_conf,abstain_ind,commit_gain,a_fork_emb,a_ind_emb
2322,4.5,class,0.3,NaN,1,0.8750,0.500000,0.5000,NaN,0.955617,0.766148
2322,4.5,class,0.6,1.000000,3,0.6250,0.500000,0.5000,1.000000,0.972726,0.766148
2322,4.5,class,0.9,1.000000,2,0.7500,0.500000,0.5000,1.000000,0.986131,0.766148
2322,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.914686,0.766148
2322,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.955617,0.766148
2322,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.972726,0.766148
2322,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.986131,0.766148
2569,1.0,class,0.05,1.000000,6,0.2500,0.166667,0.5000,1.000000,0.882103,0.761064
2569,1.0,class,0.3,0.714286,7,0.1250,0.166667,0.5000,0.657143,0.890879,0.761064
2569,1.0,class,0.6,1.000000,8,0.0000,0.166667,0.5000,1.000000,0.963487,0.761064
2569,1.0,class,0.9,1.000000,8,0.0000,0.166667,0.5000,1.000000,0.983451,0.761064
2569,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.882103,0.761064
2569,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.890879,0.761064
2569,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.963487,0.761064
2569,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.983451,0.761064
2569,4.5,class,0.05,0.166667,4,0.5000,0.500000,0.5000,0.000000,0.891986,0.902640
2569,4.5,class,0.3,0.666667,6,0.2500,0.500000,0.5000,0.333333,0.940321,0.902640
2569,4.5,class,0.6,1.000000,3,0.6250,0.500000,0.5000,1.000000,0.975826,0.902640
2569,4.5,class,0.9,1.000000,3,0.6250,0.500000,0.5000,1.000000,0.993448,0.902640
2569,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.891986,0.902640
2569,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.940321,0.902640
2569,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.975826,0.902640
2569,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.993448,0.902640
2741,1.0,class,0.05,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.895375,0.767518
2741,1.0,class,0.3,1.000000,6,0.2500,0.571429,0.0000,1.000000,0.930316,0.767518
2741,1.0,class,0.6,1.000000,7,0.1250,0.571429,0.0000,1.000000,0.971039,0.767518
2741,1.0,class,0.9,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.992019,0.767518
2741,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.895375,0.767518
2741,1.0,presence,0.3,0.750000,8,0.0000,1.000000,0.0000,0.000000,0.930316,0.767518
