clip,cfg,alpha,schedule,axis_id,s,a_independent,a_fork,commit_gain
1094,1.0,0.4,sqrt_down,presence,0.75,0.6,1.0,1.0
1094,1.0,0.4,sqrt_down,presence,0.9,0.6,1.0,1.0
1094,1.0,0.4,sqrt_down,timing,0.05,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.15,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.25,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.35,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.45,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.6,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.75,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,timing,0.9,1.0,1.0,0.0
1094,1.0,0.4,sqrt_down,class,0.05,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.15,0.4090909090909091,0.6666666666666666,0.43589743589743585
1094,1.0,0.4,sqrt_down,class,0.25,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.35,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.45,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.6,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.75,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,class,0.9,0.4090909090909091,1.0,1.0
1094,1.0,0.4,sqrt_down,material,0.05,0.6440247992259636,0.9501276348464511,
1094,1.0,0.4,sqrt_down,material,0.15,0.6440247992259636,0.9654951409329813,
1094,1.0,0.4,sqrt_down,material,0.25,0.6440247992259636,0.9713257201591841,
1094,1.0,0.4,sqrt_down,material,0.35,0.6440247992259636,0.9655943039487523,
1094,1.0,0.4,sqrt_down,material,0.45,0.6440247992259636,0.9730576412158852,
1094,1.0,0.4,sqrt_down,material,0.6,0.6440247992259636,0.9800035022604671,
1094,1.0,0.4,sqrt_down,material,0.75,0.6440247992259636,0.9853372127196701,
1094,1.0,0.4,sqrt_down,material,0.9,0.6440247992259636,0.9945681178848019,
1131,1.0,0.4,sqrt_down,presence,0.05,1.0,1.0,0.0
1131,1.0,0.4,sqrt_down,presence,0.15,1.0,1.0,0.0
1131,1.0,0.4,sqrt_down,presence,0.25,1.0,1.0,0.0
1131,1.0,0.4,sqrt_down,presence,0.35,1.0,1.0,0.0
