clip,axis_id,a_independent
4870,material,0.5548426674887692
4870,presence,0.75
4870,timing,1.0
3273,class,0.6666666666666666
3273,material,0.5720946811788519
3273,presence,0.75
3273,timing,1.0
249,class,0.5238095238095238
249,material,0.5976480868190517
249,presence,1.0
249,timing,1.0
1003,class,0.16666666666666666
1003,material,0.6947783297030499
1003,presence,0.4642857142857143
1003,timing,0.75
4662,class,0.13333333333333333
4662,material,0.5454473146607882
4662,presence,0.5714285714285714
4662,timing,1.0
282,class,0.0
282,material,0.7728317608909511
282,presence,0.4642857142857143
282,timing,1.0
1308,class,1.0
1308,material,0.8691431495080867
1308,presence,1.0
1308,timing,1.0
955,class,1.0
955,material,0.7336902994332134
955,presence,0.75
955,timing,0.5714285714285714
844,class,0.3
844,material,0.6098825032838988
844,presence,1.0
844,timing,1.0
4074,class,0.19047619047619047
4074,material,0.49272302691075204
4074,presence,1.0
4074,timing,0.4642857142857143
2583,class,0.25
2583,material,0.6970934635235109
2583,presence,1.0
2583,timing,1.0
709,class,0.16666666666666666
709,material,0.43215462238159896
709,presence,0.5714285714285714
709,timing,0.75
1131,class,0.19047619047619047
1131,material,0.7853430135365688
1131,presence,1.0
1131,timing,1.0
3550,class,0.5
3550,material,0.568612461865947
3550,presence,1.0
3550,timing,0.75
481,class,0.4666666666666667
481,material,0.6508195165089887
481,presence,0.5714285714285714
481,timing,0.75
3630,class,0.0
3630,material,0.6934946885973589
3630,presence,1.0
3630,timing,1.0
2992,class,0.0
2992,material,0.6584951102368091
2992,presence,1.0
2992,timing,1.0
4855,class,0.4
4855,material,0.8477161552559964
4855,presence,1.0
4855,timing,1.0
1282,class,0.26666666666666666
1282,material,0.4837894852359081
1282,presence,1.0
1282,timing,0.4642857142857143
214,class,0.75
214,material,0.5667359965821738
214,presence,1.0
214,timing,0.4642857142857143
1353,class,1.0
1353,material,0.522487586829824
1353,presence,0.42857142857142855
1353,timing,0.75
814,class,0.0
814,material,0.4638486563051825
814,presence,0.75
814,timing,1.0
1410,class,0.2
1410,material,0.6519376417970065
1410,presence,0.75
1410,timing,0.75
1357,class,0.13333333333333333
1357,material,0.5322320744346172
1357,presence,0.5714285714285714
1357,timing,1.0
2250,class,0.25
2250,material,0.6400799663173252
2250,presence,1.0
2250,timing,1.0
2701,class,1.0
2701,material,0.6576690182629253
2701,presence,0.75
2701,timing,1.0
502,class,0.3333333333333333
502,material,0.5454723736969161
502,presence,1.0
502,timing,0.75
3395,class,0.2857142857142857
3395,material,0.5008466959724253
3395,presence,0.5714285714285714
3395,timing,1.0
3957,class,0.3
3957,material,0.7127117730933111
3957,presence,1.0
3957,timing,0.75
3576,class,0.3
3576,material,0.5110984155625697
3576,presence,0.5714285714285714
3576,timing,0.5714285714285714
505,class,1.0
505,material,0.5633015016910127
505,presence,1.0
505,timing,1.0
388,class,0.3333333333333333
388,material,0.646743541488168
388,presence,1.0
388,timing,1.0
2249,class,0.1
2249,material,0.6628649407403883
2249,presence,0.42857142857142855
2249,timing,1.0
43,class,0.0
43,material,0.7460685717104638
43,presence,1.0
43,timing,0.17857142857142858
2944,class,0.0
2944,material,0.6010278177647609
2944,presence,1.0
2944,timing,1.0
221,class,0.0
221,material,0.7460836689996498
221,presence,1.0
221,timing,1.0
4268,class,0.2
4268,material,0.3794660737696339
4268,presence,0.4642857142857143
4268,timing,0.75
1207,class,0.13333333333333333
1207,material,0.4674052131187706
1207,presence,1.0
1207,timing,1.0
2668,class,1.0
2668,material,0.6785295654975452
2668,presence,0.75
2668,timing,1.0
4476,class,0.14285714285714285
4476,material,0.663865365850582
4476,presence,0.75
4476,timing,0.4642857142857143
3418,class,0.14285714285714285
3418,material,0.6173587325247439
3418,presence,0.4642857142857143
3418,timing,1.0
1342,class,0.3333333333333333
1342,material,0.7688614356779079
1342,presence,1.0
1342,timing,1.0
1929,class,0.26666666666666666
1929,material,0.5849770877600049
1929,presence,0.42857142857142855
1929,timing,1.0
3147,class,0.1
3147,material,0.7965343640318935
3147,presence,1.0
3147,timing,1.0
2395,class,0.3
2395,material,0.46664236234435236
2395,presence,0.75
2395,timing,1.0
1209,class,0.2
1209,material,0.3767450051041914
1209,presence,0.75
1209,timing,1.0
2104,class,0.3
2104,material,0.6551399176891801
2104,presence,1.0
2104,timing,1.0
92,class,0.26666666666666666
92,material,0.5006420656638878
92,presence,1.0
92,timing,1.0
1530,class,nan
1530,material,0.8970370499092448
1530,presence,1.0
1530,timing,1.0
4694,class,0.5
4694,material,0.639690799421692
4694,presence,1.0
4694,timing,1.0
2802,class,0.75
2802,material,0.8024149975117687
2802,presence,1.0
2802,timing,1.0
2552,class,0.1
2552,material,0.5055621735693462
2552,presence,0.75
2552,timing,0.75
1330,class,0.5
1330,material,0.8869271488043221
1330,presence,1.0
1330,timing,1.0
1762,class,0.17857142857142858
1762,material,0.7774755930209504
1762,presence,1.0
1762,timing,1.0
3585,class,0.4
3585,material,0.6338729328957721
3585,presence,0.75
3585,timing,1.0
1847,class,0.19047619047619047
1847,material,0.46704995742426153
1847,presence,0.5714285714285714
1847,timing,1.0
1813,class,0.7142857142857143
1813,material,0.690271464471902
1813,presence,0.75
1813,timing,1.0
63,class,0.4
63,material,0.6457126076040646
63,presence,0.4642857142857143
63,timing,1.0
1320,class,1.0
1320,material,0.7554320264784933
1320,presence,1.0
1320,timing,0.75
2936,class,0.26666666666666666
2936,material,0.8520223278538591
2936,presence,1.0
2936,timing,1.0
1386,class,0.7142857142857143
1386,material,0.7347305691002647
1386,presence,0.75
1386,timing,0.39285714285714285
595,class,0.5357142857142857
595,material,0.5989978697314412
595,presence,1.0
595,timing,1.0
119,class,0.26666666666666666
119,material,0.5228139925421259
119,presence,0.5714285714285714
119,timing,1.0
325,class,0.3333333333333333
325,material,0.6693144487072562
325,presence,1.0
325,timing,1.0
1373,class,1.0
1373,material,0.8870015082596635
1373,presence,1.0
1373,timing,1.0
4000,class,1.0
4000,material,0.8171180819888779
4000,presence,1.0
4000,timing,0.75
2572,class,0.0
2572,material,0.7349763599346135
2572,presence,1.0
2572,timing,1.0
573,class,0.13333333333333333
573,material,0.5053562306668824
573,presence,1.0
573,timing,0.5357142857142857
338,class,0.4666666666666667
338,material,0.8123676411506582
338,presence,1.0
338,timing,0.5714285714285714
4629,class,0.6666666666666666
4629,material,0.5860947056439805
4629,presence,0.75
4629,timing,0.42857142857142855
1002,class,1.0
1002,material,0.7935735179756771
1002,presence,0.75
1002,timing,1.0
2237,class,0.7142857142857143
