video_id,base_seed,progress,a_independent,a_fork_confident,commitment_gain,n_forks,n_confident_forks,fork_abstention_rate,fork_majority_label,fork_majority_share
1002,14,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.05,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.15,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,15,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.05,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.15,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,16,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1003,0,0.05,0.09090909090909091,0.3,0.22999999999999998,12,5,0.5833333333333333,machines_motors,0.6
1003,0,0.15,0.09090909090909091,0.2,0.12000000000000001,12,5,0.5833333333333333,,0.4
1003,0,0.25,0.09090909090909091,0.21428571428571427,0.1357142857142857,12,8,0.33333333333333337,machines_motors,0.5
1003,0,0.35,0.09090909090909091,0.5,0.44999999999999996,12,4,0.6666666666666667,machines_motors,0.75
1003,0,0.45,0.09090909090909091,1.0,1.0,12,6,0.5,machines_motors,1.0
1003,0,0.6,0.09090909090909091,0.35714285714285715,0.2928571428571429,12,8,0.33333333333333337,machines_motors,0.625
1003,0,0.75,0.09090909090909091,1.0,1.0,12,3,0.75,machines_motors,1.0
1003,0,0.9,0.09090909090909091,1.0,1.0,12,2,0.8333333333333334,vehicles,1.0
1003,1,0.05,0.09090909090909091,0.5357142857142857,0.48928571428571427,12,8,0.33333333333333337,animals,0.75
1003,1,0.15,0.09090909090909091,0.5833333333333334,0.5416666666666667,12,9,0.25,animals,0.7777777777777778
1003,1,0.25,0.09090909090909091,0.6727272727272727,0.64,12,11,0.08333333333333337,animals,0.8181818181818182
1003,1,0.35,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,animals,1.0
1003,1,0.45,0.09090909090909091,1.0,1.0,12,12,0.0,animals,1.0
1003,1,0.6,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,animals,1.0
1003,1,0.75,0.09090909090909091,1.0,1.0,12,12,0.0,animals,1.0
1003,1,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,animals,1.0
1003,2,0.05,0.09090909090909091,0.32142857142857145,0.2535714285714286,12,8,0.33333333333333337,machines_motors,0.5
1003,2,0.15,0.09090909090909091,0.2857142857142857,0.21428571428571427,12,7,0.41666666666666663,machines_motors,0.5714285714285714
1003,2,0.25,0.09090909090909091,0.7777777777777778,0.7555555555555555,12,9,0.25,machines_motors,0.8888888888888888
1003,2,0.35,0.09090909090909091,1.0,1.0,12,9,0.25,machines_motors,1.0
1003,2,0.45,0.09090909090909091,0.696969696969697,0.6666666666666667,12,12,0.0,machines_motors,0.8333333333333334
1003,2,0.6,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,machines_motors,1.0
1003,2,0.75,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,machines_motors,1.0
1003,2,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,machines_motors,1.0
1003,3,0.05,0.09090909090909091,0.3055555555555556,0.23611111111111113,12,9,0.25,impact_friction,0.5555555555555556
1003,3,0.15,0.09090909090909091,0.2,0.12000000000000001,12,6,0.5,impact_friction,0.5
1003,3,0.25,0.09090909090909091,0.25,0.17500000000000002,12,9,0.25,electronics_ui,0.4444444444444444
1003,3,0.35,0.09090909090909091,0.5,0.44999999999999996,12,4,0.6666666666666667,electronics_ui,0.75
1003,3,0.45,0.09090909090909091,0.4444444444444444,0.38888888888888884,12,9,0.25,electronics_ui,0.6666666666666666
1003,3,0.6,0.09090909090909091,0.75,0.725,12,8,0.33333333333333337,electronics_ui,0.875
1003,3,0.75,0.09090909090909091,0.7142857142857143,0.6857142857142857,12,7,0.41666666666666663,electronics_ui,0.8571428571428571
1003,3,0.9,0.09090909090909091,1.0,1.0,12,8,0.33333333333333337,electronics_ui,1.0
1003,4,0.05,0.09090909090909091,0.4444444444444444,0.38888888888888884,12,9,0.25,electronics_ui,0.5555555555555556
1003,4,0.15,0.09090909090909091,0.6111111111111112,0.5722222222222223,12,9,0.25,electronics_ui,0.7777777777777778
1003,4,0.25,0.09090909090909091,0.8,0.78,12,10,0.16666666666666663,electronics_ui,0.9
1003,4,0.35,0.09090909090909091,0.6727272727272727,0.64,12,11,0.08333333333333337,electronics_ui,0.8181818181818182
1003,4,0.45,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,electronics_ui,1.0
1003,4,0.6,0.09090909090909091,1.0,1.0,12,12,0.0,electronics_ui,1.0
1003,4,0.75,0.09090909090909091,1.0,1.0,12,12,0.0,electronics_ui,1.0
1003,4,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,electronics_ui,1.0
1003,5,0.05,0.09090909090909091,0.09523809523809523,0.004761904761904754,12,7,0.41666666666666663,,0.2857142857142857
1003,5,0.15,0.09090909090909091,0.2777777777777778,0.20555555555555557,12,9,0.25,machines_motors,0.4444444444444444
1003,5,0.25,0.09090909090909091,0.13333333333333333,0.04666666666666666,12,6,0.5,,0.3333333333333333
1003,5,0.35,0.09090909090909091,0.2857142857142857,0.21428571428571427,12,7,0.41666666666666663,impact_friction,0.5714285714285714
1003,5,0.45,0.09090909090909091,0.4,0.34,12,5,0.5833333333333333,impact_friction,0.6
1003,5,0.6,0.09090909090909091,0.2,0.12000000000000001,12,5,0.5833333333333333,,0.4
1003,5,0.75,0.09090909090909091,,,12,1,0.9166666666666666,,
1003,5,0.9,0.09090909090909091,0.0,0.0,12,2,0.8333333333333334,,0.5
1003,6,0.05,0.09090909090909091,0.25,0.17500000000000002,12,8,0.33333333333333337,,0.375
1003,6,0.15,0.09090909090909091,0.09523809523809523,0.004761904761904754,12,7,0.41666666666666663,,0.2857142857142857
1003,6,0.25,0.09090909090909091,0.26666666666666666,0.19333333333333333,12,6,0.5,machines_motors,0.5
1003,6,0.35,0.09090909090909091,0.4444444444444444,0.38888888888888884,12,9,0.25,vehicles,0.5555555555555556
1003,6,0.45,0.09090909090909091,0.5357142857142857,0.48928571428571427,12,8,0.33333333333333337,machines_motors,0.75
1003,6,0.6,0.09090909090909091,0.6,0.5599999999999999,12,5,0.5833333333333333,machines_motors,0.8
1003,6,0.75,0.09090909090909091,0.3333333333333333,0.26666666666666666,12,3,0.75,machines_motors,0.6666666666666666
1003,6,0.9,0.09090909090909091,,,12,1,0.9166666666666666,,
1003,7,0.05,0.09090909090909091,0.17857142857142858,0.09642857142857143,12,8,0.33333333333333337,animals,0.375
1003,7,0.15,0.09090909090909091,0.26666666666666666,0.19333333333333333,12,6,0.5,vehicles,0.5
1003,7,0.25,0.09090909090909091,0.2,0.12000000000000001,12,6,0.5,vehicles,0.5
1003,7,0.35,0.09090909090909091,0.6666666666666666,0.6333333333333333,12,6,0.5,vehicles,0.8333333333333334
1003,7,0.45,0.09090909090909091,1.0,1.0,12,9,0.25,vehicles,1.0
1003,7,0.6,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,vehicles,1.0
1003,7,0.75,0.09090909090909091,1.0,1.0,12,12,0.0,vehicles,1.0
1003,7,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,vehicles,1.0
1003,8,0.05,0.09090909090909091,0.17857142857142858,0.09642857142857143,12,8,0.33333333333333337,machines_motors,0.375
