clip,cfg,axis_id,s,a_fork,a_independent,commit_gain
2797,1.0,presence,0.3,1.000000,1.000000,0.000000
2797,1.0,presence,0.6,1.000000,1.000000,0.000000
2797,1.0,presence,0.9,1.000000,1.000000,0.000000
2797,4.5,class,0.05,0.000000,0.000000,0.000000
2797,4.5,class,0.3,1.000000,0.000000,1.000000
2797,4.5,class,0.6,1.000000,0.000000,1.000000
2797,4.5,class,0.9,1.000000,0.000000,1.000000
2797,4.5,presence,0.05,1.000000,1.000000,0.000000
2797,4.5,presence,0.3,1.000000,1.000000,0.000000
2797,4.5,presence,0.6,1.000000,1.000000,0.000000
2797,4.5,presence,0.9,1.000000,1.000000,0.000000
4053,1.0,class,0.05,1.000000,0.000000,1.000000
4053,1.0,class,0.3,1.000000,0.000000,1.000000
4053,1.0,class,0.6,0.000000,0.000000,0.000000
4053,1.0,class,0.9,0.000000,0.000000,0.000000
4053,1.0,presence,0.05,1.000000,0.750000,1.000000
4053,1.0,presence,0.3,1.000000,0.750000,1.000000
4053,1.0,presence,0.6,1.000000,0.750000,1.000000
4053,1.0,presence,0.9,1.000000,0.750000,1.000000
4053,4.5,class,0.05,1.000000,1.000000,0.000000
4053,4.5,class,0.3,1.000000,1.000000,0.000000
4053,4.5,class,0.6,1.000000,1.000000,0.000000
4053,4.5,class,0.9,1.000000,1.000000,0.000000
4053,4.5,presence,0.05,1.000000,1.000000,0.000000
4053,4.5,presence,0.3,1.000000,1.000000,0.000000
4053,4.5,presence,0.6,1.000000,1.000000,0.000000
4053,4.5,presence,0.9,1.000000,1.000000,0.000000
4443,1.0,class,0.05,0.000000,0.000000,0.000000
4443,1.0,class,0.3,0.000000,0.000000,0.000000
4443,1.0,class,0.6,0.000000,0.000000,0.000000
4443,1.0,class,0.9,0.000000,0.000000,0.000000
4443,1.0,presence,0.05,0.428571,0.464286,0.000000
4443,1.0,presence,0.3,0.571429,0.464286,0.200000
4443,1.0,presence,0.6,0.571429,0.464286,0.200000
4443,1.0,presence,0.9,0.464286,0.464286,0.000000
4443,4.5,class,0.05,0.000000,0.000000,0.000000
4443,4.5,class,0.3,0.000000,0.000000,0.000000
4443,4.5,class,0.6,0.000000,0.000000,0.000000
4443,4.5,class,0.9,1.000000,0.000000,1.000000
4443,4.5,presence,0.05,0.571429,0.464286,0.200000
4443,4.5,presence,0.3,0.428571,0.464286,0.000000
4443,4.5,presence,0.6,0.464286,0.464286,0.000000
4443,4.5,presence,0.9,1.000000,0.464286,1.000000
4541,1.0,class,0.05,0.000000,0.000000,0.000000
4541,1.0,class,0.3,0.000000,0.000000,0.000000
